,Time,Lot,pH,Temp,Current,Voltage,DTime,QC
36342,31:26.9,21,4.44,24.02,3.25,4.96,2021-10-14,1
36367,33:52.5,22,4.28,22.16,3.6,4.41,2021-10-14,1
36368,33:57.5,22,4.28,22.16,3.6,4.41,2021-10-14,1
36402,36:47.6,22,4.28,22.16,3.6,4.41,2021-10-14,1
36417,38:02.7,22,4.28,22.16,3.6,4.41,2021-10-14,1
36505,34:56.4,2,4.3,23.41,3.77,4.67,2021-10-15,1
36519,36:06.5,2,4.3,23.41,3.77,4.67,2021-10-15,1
36526,36:41.5,2,4.3,23.41,3.77,4.67,2021-10-15,1
36566,40:01.7,2,4.3,23.41,3.77,4.67,2021-10-15,1
36604,43:33.1,3,4.23,23.91,4.07,4.85,2021-10-15,1
36610,44:03.1,3,4.23,23.91,4.07,4.85,2021-10-15,1
36617,44:38.1,3,4.23,23.91,4.07,4.85,2021-10-15,1
36621,44:58.2,3,4.23,23.91,4.07,4.85,2021-10-15,1
36698,51:43.8,4,2.22,24.34,2.38,1.83,2021-10-15,1
36822,02:49.6,6,3.69,23.85,1.54,3.84,2021-10-15,1
36824,02:59.6,6,2.35,22.11,1.85,2.3,2021-10-15,1
36840,04:19.7,6,4.44,24.02,3.25,4.96,2021-10-15,1
37004,19:06.3,9,2.29,24.05,3.14,1.62,2021-10-15,1
37035,21:41.4,9,4.8,25.83,3.9,3.36,2021-10-15,1
37152,32:10.4,11,2.69,19.16,2.24,4.11,2021-10-15,1
37157,32:35.4,11,4.06,22.8,2.2,3.99,2021-10-15,1
37196,36:11.8,12,2.35,24.21,1.98,3.77,2021-10-15,1
37236,39:31.9,12,2.35,24.21,1.98,3.77,2021-10-15,1
37238,39:42.0,12,2.35,24.21,1.98,3.77,2021-10-15,1
37245,40:17.0,12,2.35,24.21,1.98,3.77,2021-10-15,1
37262,42:02.7,13,3.13,21.22,2.08,3.5,2021-10-15,1
37276,43:12.8,13,4.0,26.65,4.0,4.96,2021-10-15,1
37337,48:39.3,14,4.9,24.19,4.17,4.84,2021-10-15,1
37381,52:19.5,14,2.14,19.58,4.29,1.36,2021-10-15,1
37450,58:27.2,15,4.57,22.26,3.95,4.56,2021-10-15,1
37455,58:52.2,15,5.12,27.1,2.22,4.23,2021-10-15,1
37538,06:30.2,17,4.0,22.06,1.97,3.95,2021-10-15,1
37549,07:25.3,17,4.0,22.06,1.97,3.95,2021-10-15,1
37572,09:20.4,17,4.0,22.06,1.97,3.95,2021-10-15,1
37576,09:40.4,17,4.0,22.06,1.97,3.95,2021-10-15,1
37745,24:49.8,20,4.19,21.44,3.83,4.86,2021-10-15,1
37830,32:17.1,21,2.56,23.9,3.55,1.9,2021-10-15,1
37858,34:37.2,21,5.16,21.65,4.13,1.84,2021-10-15,1
38075,32:39.1,2,5.2,25.99,3.78,1.36,2021-10-18,1
38286,51:18.6,5,4.81,27.65,4.24,1.72,2021-10-18,1
38320,54:29.3,6,1.55,27.44,3.82,1.63,2021-10-18,1
38361,57:54.5,6,4.97,22.48,1.96,3.1,2021-10-18,1
38375,59:25.4,7,1.95,25.45,4.36,1.85,2021-10-18,1
38388,00:30.5,7,3.79,23.32,3.36,4.61,2021-10-18,1
38552,14:56.2,9,3.68,21.88,1.86,4.53,2021-10-18,1
38595,18:53.4,10,2.43,24.34,3.59,1.97,2021-10-18,1
38611,20:13.5,10,1.84,27.99,1.57,2.19,2021-10-18,1
38623,21:13.6,10,3.11,27.45,1.97,1.63,2021-10-18,1
38780,35:25.3,13,4.29,18.47,1.56,4.42,2021-10-18,1
38782,35:35.3,13,4.71,19.79,3.83,4.74,2021-10-18,1
38842,40:35.5,13,1.84,24.71,1.8,3.79,2021-10-18,1
38911,46:42.0,14,4.42,21.09,4.1,3.55,2021-10-18,1
38955,50:42.4,15,1.75,19.44,4.09,1.58,2021-10-18,1
38965,51:32.4,15,4.09,25.63,4.41,3.48,2021-10-18,1
39151,08:08.8,18,2.16,24.76,1.92,4.84,2021-10-18,1
39334,24:28.7,21,1.6,24.59,2.02,3.81,2021-10-18,1
39348,25:38.8,21,4.15,21.79,3.07,3.64,2021-10-18,1
39448,34:21.5,22,4.26,26.06,2.22,4.23,2021-10-18,1
39468,23:24.0,1,1.6,25.76,1.78,3.51,2021-10-19,1
39488,25:04.1,1,4.34,22.14,4.34,2.32,2021-10-19,1
39534,28:54.2,1,3.98,23.1,1.76,2.12,2021-10-19,1
39537,29:31.0,2,4.26,26.06,2.22,4.23,2021-10-19,1
39545,30:11.1,2,4.26,26.06,2.22,4.23,2021-10-19,1
39546,30:16.1,2,4.26,26.06,2.22,4.23,2021-10-19,1
39559,31:21.1,2,4.26,26.06,2.22,4.23,2021-10-19,1
39609,35:54.0,3,4.23,23.91,4.07,4.85,2021-10-19,1
39623,37:04.1,3,4.23,23.91,4.07,4.85,2021-10-19,1
39624,37:09.1,3,4.23,23.91,4.07,4.85,2021-10-19,1
39661,40:14.3,3,4.23,23.91,4.07,4.85,2021-10-19,1
39684,42:29.9,4,3.88,23.53,4.26,4.77,2021-10-19,1
39688,42:50.0,4,3.88,23.53,4.26,4.77,2021-10-19,1
39699,43:45.0,4,3.88,23.53,4.26,4.77,2021-10-19,1
39724,45:50.2,4,3.88,23.53,4.26,4.77,2021-10-19,1
39779,50:47.7,5,2.52,22.55,3.51,1.95,2021-10-19,1
39803,52:47.8,5,2.18,26.2,1.9,4.74,2021-10-19,1
39816,54:14.2,6,3.88,23.53,4.26,4.77,2021-10-19,1
39822,54:44.3,6,3.88,23.53,4.26,4.77,2021-10-19,1
39856,57:34.4,6,3.88,23.53,4.26,4.77,2021-10-19,1
39862,58:04.5,6,3.88,23.53,4.26,4.77,2021-10-19,1
40022,12:32.9,9,4.0,22.06,1.97,3.95,2021-10-19,1
40044,14:23.1,9,4.0,22.06,1.97,3.95,2021-10-19,1
40048,14:43.1,9,4.0,22.06,1.97,3.95,2021-10-19,1
40065,16:08.2,9,4.0,22.06,1.97,3.95,2021-10-19,1
40176,26:06.8,11,4.23,26.67,4.25,2.49,2021-10-19,1
40177,26:11.8,11,4.23,26.67,4.25,2.49,2021-10-19,1
40218,29:37.1,11,4.23,26.67,4.25,2.49,2021-10-19,1
40225,30:12.1,11,4.23,26.67,4.25,2.49,2021-10-19,1
40236,31:29.3,12,1.59,24.6,1.7,3.86,2021-10-19,1
40306,37:42.5,13,4.44,24.02,3.25,4.96,2021-10-19,1
40324,39:12.6,13,4.44,24.02,3.25,4.96,2021-10-19,1
40327,39:27.6,13,4.44,24.02,3.25,4.96,2021-10-19,1
40351,41:27.8,13,4.44,24.02,3.25,4.96,2021-10-19,1
40395,45:29.9,14,4.12,22.25,4.3,3.5,2021-10-19,1
40527,57:15.4,16,3.88,23.53,4.26,4.77,2021-10-19,1
40590,02:52.8,17,3.43,24.24,4.2,1.69,2021-10-19,1
40617,05:07.9,17,1.8,23.2,2.42,1.49,2021-10-19,1
40657,08:50.0,18,3.72,24.31,3.11,1.85,2021-10-19,1
40763,18:01.4,19,1.78,19.23,1.79,4.67,2021-10-19,1
40889,29:16.4,21,2.74,19.19,1.74,4.77,2021-10-19,1
41003,30:58.0,1,3.44,26.0,3.21,1.78,2021-10-20,1
41018,32:13.1,1,5.48,25.35,3.84,4.07,2021-10-20,1
41021,32:28.1,1,3.28,22.44,3.14,1.17,2021-10-20,1
41071,36:59.7,2,4.0,22.33,3.24,1.77,2021-10-20,1
41281,55:33.7,5,2.68,17.97,2.31,4.3,2021-10-20,1
41351,01:45.9,6,5.0,21.13,3.72,3.17,2021-10-20,1
41475,12:50.9,8,4.5,21.33,2.22,4.2,2021-10-20,1
41487,13:51.0,8,2.47,24.25,1.7,4.15,2021-10-20,1
41637,27:05.2,10,4.97,23.05,4.04,4.34,2021-10-20,1
41720,34:22.0,11,1.9,26.63,1.66,3.71,2021-10-20,1
41748,37:03.4,12,5.08,26.27,3.54,4.88,2021-10-20,1
41778,39:33.6,12,5.08,26.27,3.54,4.88,2021-10-20,1
41782,39:53.6,12,5.08,26.27,3.54,4.88,2021-10-20,1
41794,40:53.6,12,5.08,26.27,3.54,4.88,2021-10-20,1
41860,46:44.3,13,3.94,25.23,3.93,4.15,2021-10-20,1
41898,50:15.3,14,4.15,21.79,3.07,3.64,2021-10-20,1
41939,53:40.5,14,4.15,21.79,3.07,3.64,2021-10-20,1
41941,53:50.5,14,4.15,21.79,3.07,3.64,2021-10-20,1
41948,54:25.5,14,4.15,21.79,3.07,3.64,2021-10-20,1
41978,57:16.6,15,4.09,26.25,2.31,3.37,2021-10-20,1
41984,57:46.6,15,4.09,26.25,2.31,3.37,2021-10-20,1
42003,59:21.7,15,4.09,26.25,2.31,3.37,2021-10-20,1
42009,59:51.7,15,4.09,26.25,2.31,3.37,2021-10-20,1
42124,10:08.9,17,5.16,27.5,2.27,2.0,2021-10-20,1
42139,11:24.0,17,4.43,25.27,3.86,1.79,2021-10-20,1
42147,12:04.0,17,5.25,22.03,3.03,2.11,2021-10-20,1
42175,14:46.7,18,2.39,25.01,2.26,2.3,2021-10-20,1
42209,17:36.8,18,1.62,21.9,4.28,1.32,2021-10-20,1
42217,18:16.9,18,1.63,24.57,2.44,1.31,2021-10-20,1
42288,24:34.5,19,4.89,23.41,2.34,3.82,2021-10-20,1
42319,27:30.3,20,4.82,22.73,3.64,4.89,2021-10-20,1
42400,34:38.6,21,4.75,26.16,3.7,3.57,2021-10-20,1
42407,35:13.7,21,2.72,27.78,3.17,2.13,2021-10-20,1
42428,36:58.8,21,3.96,24.52,1.68,3.94,2021-10-20,1
42435,37:55.4,22,4.0,22.06,1.97,3.95,2021-10-20,1
42439,38:15.4,22,4.0,22.06,1.97,3.95,2021-10-20,1
42480,41:40.6,22,4.0,22.06,1.97,3.95,2021-10-20,1
42499,43:15.7,22,4.0,22.06,1.97,3.95,2021-10-20,1
42558,27:58.2,1,4.65,25.9,4.22,1.96,2021-10-21,1
42564,28:28.3,1,4.54,26.49,4.05,4.56,2021-10-21,1
42606,32:19.2,2,4.99,26.22,2.49,3.3,2021-10-21,1
42611,32:44.2,2,3.9,27.69,3.75,3.25,2021-10-21,1
42619,33:24.2,2,2.95,26.12,3.14,1.52,2021-10-21,1
42645,35:56.2,3,4.49,25.72,4.25,3.58,2021-10-21,1
42802,49:44.4,5,4.18,22.17,4.2,1.12,2021-10-21,1
42827,51:49.5,5,4.18,22.54,3.26,1.54,2021-10-21,1
42923,00:32.8,7,4.76,25.99,2.07,4.05,2021-10-21,1
42939,01:52.9,7,4.28,22.16,3.6,4.41,2021-10-21,1
42943,02:12.9,7,2.23,25.46,2.32,4.1,2021-10-21,1
43001,07:25.6,8,4.33,25.14,2.24,1.39,2021-10-21,1
43025,09:25.7,8,4.33,25.14,2.24,1.39,2021-10-21,1
43043,10:55.8,8,4.33,25.14,2.24,1.39,2021-10-21,1
43045,11:05.8,8,4.33,25.14,2.24,1.39,2021-10-21,1
43083,14:37.3,9,5.08,26.27,3.54,4.88,2021-10-21,1
43241,28:32.8,11,4.15,25.74,3.12,3.54,2021-10-21,1
43471,49:12.6,15,3.96,23.99,3.79,1.61,2021-10-21,1
43504,51:57.8,15,2.53,25.81,1.66,4.46,2021-10-21,1
43621,02:26.4,17,2.56,23.9,3.55,1.9,2021-10-21,1
43636,03:41.5,17,2.56,23.9,3.55,1.9,2021-10-21,1
43637,03:46.5,17,2.56,23.9,3.55,1.9,2021-10-21,1
43664,06:01.6,17,2.56,23.9,3.55,1.9,2021-10-21,1
43775,16:00.1,19,4.93,23.45,3.1,1.82,2021-10-21,1
43825,20:30.7,20,3.47,19.75,1.75,4.9,2021-10-21,1
43835,21:20.8,20,1.88,21.83,2.11,3.15,2021-10-21,1
43908,27:46.8,21,3.19,25.43,2.08,4.17,2021-10-21,1
44044,31:33.1,1,3.25,21.31,2.27,3.6,2021-10-22,1
44056,32:33.1,1,5.15,26.61,2.47,2.0,2021-10-22,1
44120,38:14.4,2,1.71,26.76,1.67,2.03,2021-10-22,1
44127,38:49.4,2,2.42,21.42,3.36,1.54,2021-10-22,1
44193,44:41.3,3,3.65,26.83,4.14,1.85,2021-10-22,1
44256,50:18.2,4,3.38,22.93,4.43,1.28,2021-10-22,1
44264,50:58.2,4,3.46,24.93,2.28,1.62,2021-10-22,1
44333,57:05.8,5,4.35,24.06,4.44,2.18,2021-10-22,1
44378,01:11.7,6,3.44,24.58,1.57,4.0,2021-10-22,1
44660,26:08.4,10,3.98,27.82,2.2,3.63,2021-10-22,0
44689,28:33.6,10,3.8,27.45,4.24,1.79,2021-10-22,0
44692,28:48.6,10,5.05,25.44,2.28,4.27,2021-10-22,0
44749,33:54.2,11,1.75,25.14,2.17,3.62,2021-10-22,1
44765,35:14.3,11,1.75,25.14,2.17,3.62,2021-10-22,1
44769,35:34.3,11,1.75,25.14,2.17,3.62,2021-10-22,1
44777,36:14.3,11,1.75,25.14,2.17,3.62,2021-10-22,1
44790,37:40.0,12,3.8,22.15,3.21,1.36,2021-10-22,1
44796,38:10.1,12,1.64,24.91,2.05,4.36,2021-10-22,1
44837,41:35.3,12,3.61,22.13,3.84,1.77,2021-10-22,1
44869,44:35.9,13,4.99,23.83,1.68,3.65,2021-10-22,1
44913,48:16.2,13,4.11,22.14,1.88,3.11,2021-10-22,1
44933,50:16.7,14,2.54,21.44,1.74,1.67,2021-10-22,1
45002,56:23.8,15,4.23,26.67,4.25,2.49,2021-10-22,1
45104,05:15.1,16,3.06,22.78,1.96,4.39,2021-10-22,1
45213,15:03.9,18,1.76,26.67,4.2,1.49,2021-10-22,1
45220,15:38.9,18,4.42,24.53,1.7,4.91,2021-10-22,1
45229,16:23.9,18,1.94,18.33,3.39,4.78,2021-10-22,1
45271,20:14.6,19,4.12,22.25,4.3,3.5,2021-10-22,1
45284,21:19.7,19,4.12,22.25,4.3,3.5,2021-10-22,1
45303,22:54.7,19,4.12,22.25,4.3,3.5,2021-10-22,1
45311,23:34.8,19,4.12,22.25,4.3,3.5,2021-10-22,1
45541,23:53.0,1,4.12,22.25,4.3,3.5,2021-10-25,1
45546,24:18.0,1,4.12,22.25,4.3,3.5,2021-10-25,1
45592,28:08.2,1,4.12,22.25,4.3,3.5,2021-10-25,1
45595,28:23.2,1,4.12,22.25,4.3,3.5,2021-10-25,1
45684,36:33.1,3,5.15,25.39,3.72,4.93,2021-10-25,1
45685,36:38.1,3,5.15,25.39,3.72,4.93,2021-10-25,1
45727,40:08.3,3,5.15,25.39,3.72,4.93,2021-10-25,1
45744,41:33.4,3,5.15,25.39,3.72,4.93,2021-10-25,1
45768,43:54.6,4,3.85,19.65,1.9,4.96,2021-10-25,1
45794,46:04.8,4,4.95,22.11,1.74,4.11,2021-10-25,1
45834,49:46.8,5,3.01,25.23,1.63,1.59,2021-10-25,1
45885,54:23.7,6,4.57,22.26,3.95,4.56,2021-10-25,1
45894,55:08.7,6,4.57,22.26,3.95,4.56,2021-10-25,1
45928,57:58.9,6,4.57,22.26,3.95,4.56,2021-10-25,1
45939,58:54.0,6,4.57,22.26,3.95,4.56,2021-10-25,1
45970,01:51.9,7,2.02,23.94,2.04,1.55,2021-10-25,1
46032,07:25.2,8,1.51,23.1,4.42,1.91,2021-10-25,1
46092,12:45.5,9,4.33,25.14,2.24,1.39,2021-10-25,1
46109,14:10.6,9,4.33,25.14,2.24,1.39,2021-10-25,1
46136,16:25.7,9,4.33,25.14,2.24,1.39,2021-10-25,1
46138,16:35.7,9,4.33,25.14,2.24,1.39,2021-10-25,1
46165,19:13.4,10,4.57,22.26,3.95,4.56,2021-10-25,1
46169,19:33.4,10,4.57,22.26,3.95,4.56,2021-10-25,1
46183,20:43.5,10,4.57,22.26,3.95,4.56,2021-10-25,1
46193,21:33.5,10,4.57,22.26,3.95,4.56,2021-10-25,1
46239,25:44.6,11,4.13,25.67,3.28,2.41,2021-10-25,1
46240,25:49.6,11,4.93,23.22,1.95,4.53,2021-10-25,1
46286,29:39.9,11,3.98,19.79,3.74,1.84,2021-10-25,1
46574,55:07.4,15,1.75,21.33,3.57,2.12,2021-10-25,1
46578,55:50.3,16,2.09,26.14,2.09,4.61,2021-10-25,0
46597,57:25.4,16,3.84,22.22,3.62,4.55,2021-10-25,0
46608,58:20.4,16,3.6,25.94,1.87,4.93,2021-10-25,0
46613,58:45.5,16,2.61,17.32,1.69,2.43,2021-10-25,0
46617,59:05.5,16,1.69,18.58,3.4,3.94,2021-10-25,0
46724,08:45.7,18,1.74,22.52,1.73,2.35,2021-10-25,1
46850,19:37.9,19,2.69,27.45,2.03,4.49,2021-10-25,1
46866,21:19.2,20,5.04,23.13,3.84,3.84,2021-10-25,1
46870,21:39.2,20,2.22,26.7,2.19,2.4,2021-10-25,1
46871,21:44.2,20,4.92,24.53,4.43,3.51,2021-10-25,1
46994,32:44.5,22,4.09,26.25,2.31,3.37,2021-10-25,1
47163,35:24.0,2,4.21,26.19,4.19,4.64,2021-10-26,1
47186,37:19.1,2,3.23,23.25,2.28,3.2,2021-10-26,1
47236,41:51.3,3,5.24,24.15,4.2,4.71,2021-10-26,1
47248,42:51.3,3,3.57,22.63,3.16,1.85,2021-10-26,1
47487,04:13.1,7,4.3,23.41,3.77,4.67,2021-10-26,1
47514,06:28.3,7,4.3,23.41,3.77,4.67,2021-10-26,1
47519,06:53.3,7,4.3,23.41,3.77,4.67,2021-10-26,1
47539,08:33.4,7,4.3,23.41,3.77,4.67,2021-10-26,1
47753,27:49.3,11,2.01,22.58,3.38,1.64,2021-10-26,1
47782,30:14.4,11,5.38,23.73,4.11,1.96,2021-10-26,1
47889,39:53.7,13,4.65,21.77,4.3,4.77,2021-10-26,1
47928,43:08.9,13,2.03,24.5,4.34,1.8,2021-10-26,1
48006,50:00.4,14,5.13,21.59,4.32,4.1,2021-10-26,1
48026,52:03.5,15,3.73,27.96,2.04,4.1,2021-10-26,1
48044,53:33.5,15,3.05,27.9,1.99,2.22,2021-10-26,1
48096,58:16.8,16,4.36,19.34,3.7,2.48,2021-10-26,1
48183,05:54.0,17,2.57,22.85,1.64,1.63,2021-10-26,1
48254,12:11.8,18,4.33,25.14,2.24,1.39,2021-10-26,1
48264,13:01.8,18,4.33,25.14,2.24,1.39,2021-10-26,1
48273,13:46.9,18,4.33,25.14,2.24,1.39,2021-10-26,1
48281,14:26.9,18,4.33,25.14,2.24,1.39,2021-10-26,1
48310,17:12.4,19,2.02,23.94,2.04,1.55,2021-10-26,1
48324,18:22.4,19,2.02,23.94,2.04,1.55,2021-10-26,1
48331,18:57.5,19,2.02,23.94,2.04,1.55,2021-10-26,1
48334,19:12.5,19,2.02,23.94,2.04,1.55,2021-10-26,1
48378,23:12.8,20,1.76,19.79,2.04,3.65,2021-10-26,1
48417,26:28.0,20,3.25,24.85,1.96,1.08,2021-10-26,1
48460,30:24.8,21,3.77,25.05,1.67,1.74,2021-10-26,1
